Subject,Course Number,Section Number,Class Number,M,T,W,Th,F,Sa,Su,Departmental Approval,Max Enroll
CSE,7399,4,87362,N,N,N,N,N,N,N,N,10
CSE,7399,9,86127,N,N,N,N,N,N,N,N,5
CSE,7399,13,89660,N,N,N,N,N,N,N,N,5
CSE,7399,16,88679,N,N,N,N,N,N,N,N,5
CSE,7399,17,86256,N,N,N,N,N,N,N,N,10
CSE,7399,24,87218,N,N,N,N,N,N,N,N,10
CSE,7399,29,86318,N,N,N,N,N,N,N,N,1
CSE,4361,2,89808,N,N,N,N,N,N,N,Y,1
CSE,5322,2,86996,,,,,,,,Y,5
,,,,,,,,,,,,
CSE,2320,4,,N,Y,N,Y,N,N,N,N,45
CSE,3313,1,,Y,N,Y,N,N,N,N,N,40
CSE,3380,2,,N,Y,N,Y,N,N,N,N,40
CSE,5349,1,,N,Y,N,Y,N,N,N,N,20
CSE,6349,1,,N,Y,N,Y,N,N,N,N,20
CSE,5301,2,,N,Y,N,Y,N,N,N,N,50
CSE,4340,1,,Y,N,Y,N,N,N,N,N,40
